field,source_a,source_a_ra,source_a_dec,source_b,source_b_ra,source_b_dec,distance,outflow_source,red_channels,blue_channels,outflow_PA,binary_PA,delta_PA
HOPS-12,B-A,83.78727083333334,-5.931952777777778,B-B,83.7873125,-5.931911111111112,388.6,B-A,92-97,103-107,157.1225,44.999999996336,67.877499996336
HOPS-290,A,84.98907083333334,-7.492527777777778,B,84.98887083333334,-7.492419444444445,405.5,A,91-94,99-102,293.5175,298.44292862357645,4.925428623576465
HOPS-290,A,84.98907083333334,-7.492527777777778,B,84.98887083333334,-7.492419444444445,405.5,B,91-95,,228.8875,298.44292862357645,69.55542862357646
HOPS-92,A-A,83.82640416666666,-5.00915,A-B,83.82636666666666,-5.009216666666667,392.7,both,,106-112,76.03,209.35775354576305,46.672246454236955
HOPS-288,A-A,84.9833375,-7.5076583333333335,A-B,84.98335833333334,-7.507694444444445,405.5,both,85-91,,56.37,150.0183606261081,86.35163937389191
HOPS-203,A,84.09527083333333,-6.768508333333333,B,84.09525833333333,-6.768541666666667,383.5,both,96-100,,143.81,200.5560452147316,56.746045214731595
HH270VLA1,A,87.8941125,2.946113888888889,B,87.89416666666666,2.946077777777778,430.1,both,94-100,104-109,50.0425,123.69006753031587,73.64756753031588
HOPS-32,A,83.647725,-5.666480555555556,B,83.64763333333332,-5.66655,390.6,B,95-98,102-106,159.045,232.85331330529164,73.80831330529165
HOPS-84,A,83.86066666666667,-5.065311111111111,B,83.86057083333333,-5.065480555555555,392.8,both,98-100,"104, 106-107",82.815,209.49136180671576,53.32363819328424
HOPS-168,A,84.07892083333333,-6.75655,B,84.07896666666666,-6.756522222222222,383.3,both,91-98,104-115,159.35,58.78159723476777,79.43159723476778
HOPS-281,A,85.1027,-7.718930555555556,B,85.1025,-7.718991666666667,416.1,A,91-94,99-105,26.02,253.0091767074191,46.98917670741909
HOPS-312,A,85.77370833333335,-1.265163888888889,B,85.77377083333333,-1.2652305555555556,416.3,both,88-91,97-98,216.3725,136.8476102731677,79.5248897268323
HOPS-364,A,86.90234583333333,0.33497777777777776,B,86.90230833333332,0.33499999999999996,427.8,both,94-98,105-108,276.3025,300.6506679538143,24.34816795381431
HOPS-395,A,84.82121666666667,-7.406819444444444,B,84.82117083333334,-7.406825,397.2,B,94-95,98,174.1675,263.08877288008,88.92127288008001
HOPS-400,A,85.688525,-1.2704499999999999,B,85.68857083333333,-1.2705638888888888,415.4,A,95-98,103-108,266.645,158.07822140693423,71.43322140693425
HOPS-182,A,84.0783125,-6.369502777777777,B,84.07822916666666,-6.369763888888889,385.1,both,88-93,104-107,234.6425,197.70042778919407,36.94207221080595
HOPS-323,A,86.6987375,0.0070194444444444445,B,86.6986125,0.006891666666666667,428.4,both,94-99,105-107,303.09,224.37040139091246,78.71959860908751
HOPS-282,A,85.10871250000001,-7.625577777777778,B,85.10866666666668,-7.625583333333334,414.7,both,93-95,99-101,182.98,263.08877288008,80.10877288008001
HOPS-366,A,86.76667916666666,0.36953611111111107,B,86.76670416666667,0.3695694444444444,430.5,both,80-87,112-120,136.62,36.869897654576555,80.24989765457656
HOPS-193,A,84.12617499999999,-6.021419444444445,B,84.12617916666666,-6.021491666666667,387.8,both,97-99,104,93.6425,176.69813432264783,83.05563432264783
HOPS-304,A,85.441475,-1.9407194444444444,B,85.4413,-1.9407777777777777,409.5,both,94-98,107-109,331.585,251.56505117696895,80.01994882303103
HOPS-361-N,C-A,86.76929583333333,0.3632916666666666,C-B,86.76927083333334,0.36329999999999996,430.4,both,81-88,,200.955,288.43494882723485,87.47994882723484
HOPS-384,A,85.43389583333334,-1.9127944444444445,A-B,85.43391666666668,-1.9127694444444443,409.5,both,,108-112,184.37,39.80557109782126,35.43557109782125
HOPS-363,A,86.679675,0.014541666666666666,B,86.67971666666666,0.014513888888888889,428.4,both,92-93,107-109,92.81,123.69006752961131,30.88006752961131
HOPS-173,A,84.10850416666666,-6.418080555555556,B,84.10854583333332,-6.418141666666667,384.9,both,,102,246.99,145.71312302643435,78.72312302643434
HOPS-75,A,83.86116666666666,-5.102919444444444,B,83.86115833333332,-5.102988888888889,392.8,both,100-101,106-107,96.5275,186.8427734186124,89.6847265813876
HOPS-213,A,85.70036666666667,-8.669019444444444,B,85.70032083333334,-8.668966666666666,435.6,B,92-93,97-98,264.4875,319.0282636680473,54.540763668047305
